nombre,zona,aliases,estado,fuente,lat,lng,notas
Residencias Mariola y Maribel,Macuto,Mariola y Maribel,no_confirmado,,,,
Mariola,Macuto,,no_confirmado,,,,¿mismo que Residencias Mariola y Maribel?
Res Club de Playa,Macuto,Residencia Club de Playa,no_confirmado,,,,
Edificio Parque Caraballeda,Caraballeda,Parque Caraballeda,no_confirmado,,,,
Tahiti,Caraballeda,,no_confirmado,,,,
Misión Vivienda Los Cocos,Los Cocos,,no_confirmado,,,,
Caribe,Los Cocos,,no_confirmado,,,,¿mismo que Residencias Caribe?
Bello Horizonte,Playa Grande,,no_confirmado,,,,
La Llovizna,Playa Grande,,no_confirmado,,,,
Canes,Catia La Mar,,no_confirmado,,,,
Albatros,,Albatroz / Edificio Albatros,no_confirmado,,,,
Bloque 3 de La Páez,,,no_confirmado,,,,
Bucanero,,,no_confirmado,,,,
Coral Bella,,,no_confirmado,,,,
Costa Brava,,Edificio Costa Brava,no_confirmado,,,,
Edificio Dist. Rosanday,,,no_confirmado,,,,
Edificio La Gabarra,,,no_confirmado,,,,
Edificio Oasis Beach,,,no_confirmado,,,,
Edificio Punta Brisas,,,no_confirmado,,,,
Hotel Eduard's,,Hotel Edwards,no_confirmado,,,,
La Estrella,,,no_confirmado,,,,
Las Palmas,,,no_confirmado,,,,
Los Delfines,,,no_confirmado,,,,
Miramar,,,no_confirmado,,,,
Pez Vela,,,no_confirmado,,,,
Residencia Los Corales,,Los Corales,no_confirmado,,,,
Residencia Llona,,,no_confirmado,,,,
Residencias Breogan,,,no_confirmado,,,,
Residencias Caribe,,,no_confirmado,,,,
Residencias Coral Beach,,,no_confirmado,,,,
Residencias Gran Terraza,,,no_confirmado,,,,
Residencias La Mar Suites,,,no_confirmado,,,,
Residencias La Trinidad,,,no_confirmado,,,,
Residencias Ritasol Palace,,Rita Sol Palace,no_confirmado,,,,
Residencias Vistamar,,,no_confirmado,,,,
Rocapark,,,no_confirmado,,,,
SUMA,,,no_confirmado,,,,
